gutenbergId,affectedBooks,currentStatus,nextAction,ownerReviewed,resolution,keepSlug,duplicateSlugs,reason
1184,the-count-of-monte-cristo: The Count of Monte Cristo; the-count-of-monte-cristo-gutenberg-1184: The Count of Monte Cristo,needs owner duplicate resolution,Keep one canonical metadata entry only after manual comparison. Mark intentional duplicate metadata with allowDuplicateGutenbergId and duplicateReason. Remove duplicate raw files from tracked processing lists only after confirming they are redundant. Manually compare source files before resolving the group.,false,ignore-until-reviewed,,the-count-of-monte-cristo; the-count-of-monte-cristo-gutenberg-1184,
1597,the-bell: Andersen's Fairy Tales; the-elderbush: Andersen's Fairy Tales; the-emperor-s-new-clothes: Andersen's Fairy Tales; the-fir-tree: Andersen's Fairy Tales; the-leap-frog: Andersen's Fairy Tales; the-old-house: Andersen's Fairy Tales; the-real-princess: Andersen's Fairy Tales; the-shoes-of-fortune: Andersen's Fairy Tales; the-snow-queen: Andersen's Fairy Tales; the-swineherd: Andersen's Fairy Tales,needs owner duplicate resolution,Keep one canonical metadata entry only after manual comparison. Mark intentional duplicate metadata with allowDuplicateGutenbergId and duplicateReason. Remove duplicate raw files from tracked processing lists only after confirming they are redundant. Manually compare source files before resolving the group.,false,ignore-until-reviewed,,the-bell; the-elderbush; the-emperor-s-new-clothes; the-fir-tree; the-leap-frog; the-old-house; the-real-princess; the-shoes-of-fortune; the-snow-queen; the-swineherd,
45,anne-of-green-gables: Anne of Green Gables; anne-of-green-gables-gutenberg-45: Anne of Green Gables,needs owner duplicate resolution,Keep one canonical metadata entry only after manual comparison. Mark intentional duplicate metadata with allowDuplicateGutenbergId and duplicateReason. Remove duplicate raw files from tracked processing lists only after confirming they are redundant. Manually compare source files before resolving the group.,false,ignore-until-reviewed,,anne-of-green-gables; anne-of-green-gables-gutenberg-45,
